highway,BUILDINGNAME,BLOCK,ROAD,POSTALCODE,XCOORD,YCOORD,LATITUDE,LONGITUDE
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,458,ANG MO KIO AVENUE 10,560458,30927.7953127,38733.6948031,1.366568152368012,103.85962684332141
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,459,ANG MO KIO AVENUE 10,560459,30900.0113619,38783.6182403,1.3670196448064518,103.85937719020122
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,457,ANG MO KIO AVENUE 10,560457,30851.5763528,38637.434836,1.3656976191089927,103.85894195411588
CENTRAL EXPRESSWAY,null,558,ANG MO KIO AVENUE 10,560558,30879.3986834,39249.8558493,1.3712361328426363,103.85919201619355
CENTRAL EXPRESSWAY,null,560,ANG MO KIO AVENUE 10,560560,30879.4345812,39203.4293025,1.3708162677773361,103.85919233425575
CENTRAL EXPRESSWAY,null,564,ANG MO KIO AVENUE 3,560564,30903.0062578,39096.4049507,1.3698483755548956,103.85940413195561
AYER RAJAH EXPRESSWAY,null,610,CLEMENTI WEST STREET 1,120610,20816.7361247,31875.7945256,1.3045470452555883,103.76877361790748
AYER RAJAH EXPRESSWAY,null,605,CLEMENTI WEST STREET 1,120605,20732.8989856,31968.4425234,1.3053849009935499,103.76802028099979
AYER RAJAH EXPRESSWAY,CLEMENTI PEAKS,466A,CLEMENTI AVENUE 1,121466,20644.3305672,32459.3513237,1.3098244832254287,103.76722433658644
AYER RAJAH EXPRESSWAY,CLEMENTI PEAKS,466,CLEMENTI AVENUE 1,120466,20605.5811009,32407.3337657,1.3093540458271262,103.7668761664633
AYER RAJAH EXPRESSWAY,CLEMENTI PEAKS,465A,CLEMENTI AVENUE 1,121465,20693.1179865,32396.3412816,1.3092546546010986,103.76766272974935
AYER RAJAH EXPRESSWAY,CLEMENTI PEAKS,463,CLEMENTI AVENUE 1,120463,20715.4563335,32585.5510485,1.3109658051561897,103.7678634060363
AYER RAJAH EXPRESSWAY,CLEMENTI PEAKS,464B,CLEMENTI AVENUE 1,122464,20727.6256067,32493.953713,1.3101374345807588,103.76797277430971
AYER RAJAH EXPRESSWAY,WEST COAST VISTA,506,WEST COAST DRIVE,120506,19936.8688417,32757.0923945,1.312516969404304,103.76086737712221
AYER RAJAH EXPRESSWAY,null,430,CLEMENTI AVENUE 3,120430,20124.4698956,32842.8712248,1.3132927708574358,103.762553042236
AYER RAJAH EXPRESSWAY,null,431,CLEMENTI AVENUE 3,120431,20122.4845882,32896.1259866,1.3137743872482994,103.7625351897209
AYER RAJAH EXPRESSWAY,null,429,CLEMENTI AVENUE 3,120429,20158.7384895,32800.7874072,1.3129121887086408,103.76286097301913
AYER RAJAH EXPRESSWAY,null,428,CLEMENTI AVENUE 3,120428,20204.1286,32756.5342529,1.31251199063392,103.76326883650665
AYER RAJAH EXPRESSWAY,WEST COAST VISTA,508,WEST COAST DRIVE,120508,20036.3729313,32662.3009089,1.3116597352377404,103.76176149423377
AYER RAJAH EXPRESSWAY,null,505,WEST COAST DRIVE,120505,19838.281539,32730.9522374,1.3122805412549243,103.75998152905572
AYER RAJAH EXPRESSWAY,WEST COAST VISTA,507,WEST COAST DRIVE,120507,19929.604798,32708.7403499,1.3120796890231816,103.76080211874535
AYER RAJAH EXPRESSWAY,null,433,CLEMENTI AVENUE 3,120433,20043.7111618,32922.869203,1.3140162229843284,103.76182736484273
AYER RAJAH EXPRESSWAY,null,434,CLEMENTI AVENUE 3,120434,20019.8119856,32983.9818058,1.3145688971601017,103.76161260319884
CENTRAL EXPRESSWAY,null,132,JALAN BUKIT MERAH,160132,27441.949764,29021.8808535,1.2787380812794333,103.82830428838527
CENTRAL EXPRESSWAY,null,132,JALAN BUKIT MERAH,160132,27442.4559355,29073.5350443,1.2792052236848086,103.82830883561782
CENTRAL EXPRESSWAY,null,140,JALAN BUKIT MERAH,160140,27577.7302439,28957.5328454,1.27815614255882,103.8295243278487
CENTRAL EXPRESSWAY,KIM TIAN VISTA,130,KIM TIAN ROAD,160130,27550.3797609,29205.8211158,1.2804015742684158,103.82927857001748
CENTRAL EXPRESSWAY,null,143,JALAN BUKIT MERAH,160143,27630.8351187,28916.5195458,1.277785233316576,103.83000149546396
CENTRAL EXPRESSWAY,KIM TIAN GREEN,127D,KIM TIAN ROAD,164127,27624.3449971,29285.2393109,1.2811198055507873,103.82994317492818
CENTRAL EXPRESSWAY,TIONG BAHRU ESTATE,82,TIONG POH ROAD,160082,28040.3427776,29519.0948684,1.2832347154329566,103.83368107496179
CENTRAL EXPRESSWAY,TIONG BAHRU ESTATE,81,TIONG POH ROAD,160081,27951.0566145,29448.5457676,1.2825966940937237,103.83287880396556
CENTRAL EXPRESSWAY,TIONG BAHRU ESTATE,65,TIONG POH ROAD,160065,27988.4184147,29530.5380731,1.2833382037832444,103.83321451424085
CENTRAL EXPRESSWAY,TIONG BAHRU ESTATE,74,TIONG POH ROAD,160074,27932.210436,29486.1672066,1.2829369291567219,103.83270946363768
CENTRAL EXPRESSWAY,null,13,YORK HILL,162013,28550.4427811,29885.0439324,1.286544225587529,103.8382645294106
CENTRAL EXPRESSWAY,null,51,CHIN SWEE ROAD,160051,28969.4831599,29980.0047674,1.287403007915331,103.84202977889117
CENTRAL EXPRESSWAY,null,52,CHIN SWEE ROAD,160052,28919.4388323,29944.5957666,1.2870827828495794,103.84158010927487
CENTRAL EXPRESSWAY,null,53,CHIN SWEE ROAD,160053,28906.3926352,30004.3489132,1.2876231697033145,103.84146288562685
CENTRAL EXPRESSWAY,null,54,CHIN SWEE ROAD,160054,28874.4508925,29983.6983089,1.2874364137945749,103.84117587551358
CENTRAL EXPRESSWAY,MOULMEIN VIEW,69,MOULMEIN ROAD,300069,29914.1238675,33468.508511,1.318951762331268,103.85051797259266
CENTRAL EXPRESSWAY,MOULMEIN VIEW,69,MOULMEIN ROAD,300069,29917.7138017,33450.1843645,1.3187860450081361,103.85055022886942
CENTRAL EXPRESSWAY,MULTI STOREY CAR PARK,56,OWEN ROAD,210056,29912.3498913,33305.9361134,1.3174815151799244,103.85050202242896
CENTRAL EXPRESSWAY,KENT HEIGHTS,55,OWEN ROAD,210055,29883.4722371,33271.1144024,1.3171666017250871,103.85024253979918
CENTRAL EXPRESSWAY,KENT HEIGHTS,55A,OWEN ROAD,211055,29942.1383998,33257.6440297,1.3170447767825897,103.85076968439193
CENTRAL EXPRESSWAY,WHAMPOA VIEW,101,WHAMPOA DRIVE,323101,30280.9321186,33630.5410186,1.3204171018757758,103.85381394640238
CENTRAL EXPRESSWAY,WHAMPOA VIEW,104,WHAMPOA DRIVE,323104,30226.8268567,33672.8342907,1.3207995912385937,103.85332778542069
CENTRAL EXPRESSWAY,KIM KEAT BEACON,265,KIM KEAT AVENUE,310265,30979.934548,34876.1358343,1.3316817593255146,103.86009496916195
CENTRAL EXPRESSWAY,KIM KEAT BEACON,265A,KIM KEAT AVENUE,311265,30947.9184974,34911.1782293,1.3319986734227587,103.8598072903192
CENTRAL EXPRESSWAY,null,115,POTONG PASIR AVENUE 1,350115,31281.69893,35494.0581748,1.3372699980605909,103.8628065583661
CENTRAL EXPRESSWAY,null,116,POTONG PASIR AVENUE 1,350116,31260.1946475,35444.9630209,1.3368260012868982,103.86261332459928
CENTRAL EXPRESSWAY,null,117,POTONG PASIR AVENUE 1,350117,31305.5489813,35354.541082,1.3360082525238846,103.86302084981915
CENTRAL EXPRESSWAY,null,118,POTONG PASIR AVENUE 1,350118,31264.6955269,35296.2921331,1.3354814741890977,103.86265375167467
CENTRAL EXPRESSWAY,null,119,POTONG PASIR AVENUE 1,350119,31296.8920352,35194.5661011,1.3345614966537995,103.86294304484392
CENTRAL EXPRESSWAY,null,120,POTONG PASIR AVENUE 1,350120,31346.4074903,35293.203467,1.3354535324679284,103.86338798039782
CENTRAL EXPRESSWAY,null,114,POTONG PASIR AVENUE 1,350114,31337.3234328,35439.3165891,1.3367749285527244,103.86330637092426
BUKIT TIMAH EXPRESSWAY,null,276,BANGKIT ROAD,670276,21587.7954242,39801.3268595,1.3762228794328024,103.7757002655831
BUKIT TIMAH EXPRESSWAY,null,211,PETIR ROAD,670211,21637.3082762,39628.9697913,1.3746641552925465,103.77614521145978
BUKIT TIMAH EXPRESSWAY,SEGAR GARDENS,480A,SEGAR ROAD,671480,21167.2608664,41302.3807033,1.389797770079666,103.77192110976505
BUKIT TIMAH EXPRESSWAY,SEGAR GROVE,488A,SEGAR ROAD,671488,21093.996667,41309.2936687,1.3898602711053465,103.77126277264618
BUKIT TIMAH EXPRESSWAY,SEGAR GROVE,488,SEGAR ROAD,670488,21110.2724277,41272.4096485,1.3895267093141486,103.77140903163253
BUKIT TIMAH EXPRESSWAY,SEGAR GARDENS,480,SEGAR ROAD,670480,21218.1902298,41290.7375786,1.389692485824777,103.77237875218303
